"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"1INCH";8.874;1.691;-3.19;-4.106;-3.99;-2.83;1.705;1.635;1.637;1.624;0.79;1.634;0.18;633;0.4;0.122;0.122;-0.245;0;-0.673
"AAVE";14.769;161.1;-5.34;-5.941;-5.63;-5.23;161.6;152;152.5;25.939;82.99;152.6;-0.07;633;0.47;0.329;0.329;-0.132;0;-0.921
"ACA";4.25;1.45;-9.79;-11.361;-11.02;-3;1.47;1.303;1.308;1.295;0.99;2.8;-114.07;3;0.5;0.384;0.384;-0.153;0.153;-1.842
"ACH";2.107;0.03902;-5.89;-4.674;-4.65;-0.51;0.03851;0.03671;0.03672;0.0358;2.51;0.0398;-8.39;3;0.5;0.027;0.327;0;-0.027;-0.763
"ACM";0.249;4.184;-5.09;-5.362;-5.36;-0.04;4.196;3.971;3.971;3.962;0.23;10.3;-159.38;3333;0.08;0;0;0;0;-0.705
"ADA";129.971;1.077;-4.18;-5.418;-5.23;-3.47;1.089;1.03;1.032;1.023;0.87;1.04;-0.78;63;0.89;0.194;0.194;0;0.097;-0.291
"ADX";5.905;0.4291;2.68;2.348;2.42;3.07;0.4302;0.4403;0.4406;0.4415;-0.2;0.4448;-0.95;33;0.2;0.068;0.409;0;0;-2.203
"AGLD";108.315;1.322;8.17;15.541;16.35;5.21;1.229;1.42;1.43;1.338;6.43;1.439;-0.63;33;0.2;0.704;1.408;0;0.492;-3.099
"AION";2.323;0.0914;-0.77;1.001;0.89;-11.09;0.0899;0.0908;0.0907;0.0899;0.88;0.0922;-1.65;63;0.64;-0.11;0;-0.11;0;-0.881
"AKRO";1.703;0.01318;-3.57;-4.148;-4.15;0.05;0.01326;0.01271;0.01271;0.01243;2.2;0.0131;-3.07;63;0.38;0;0;-0.315;0;-2.282
"ALCX";1.056;180.1;-11.44;-10.706;-10.59;-1.08;178.4;159.3;159.5;135.2;15.24;458;-187.15;3;0.25;0.126;0.126;0;0.063;-0.879
"ALGO";47.767;0.9842;-5.78;-5.754;-5.56;-3.37;0.9819;0.9254;0.9273;0.9213;0.65;0.9697;-4.57;36;0.03;0.205;0.216;-0.205;-0.011;-0.551
"ALICE";23.842;7.4;-7.43;-7.094;-6.55;-7.67;7.33;6.81;6.85;6.77;1.17;11;-60.58;36;0.08;0.587;0.587;0;0;-1.028
"ALPACA";1.367;0.3676;-3.86;-3.871;-3.65;-5.71;0.3668;0.3526;0.3534;0.3529;0.14;0.3541;-0.2;33;0.14;0.227;0.284;0;-0.057;0.227
"ALPHA";1.735;0.3834;-2.97;-2.285;-2.29;0.22;0.3807;0.372;0.372;0.369;0.81;0.3709;0.3;6333;0.29;0;0;-0.188;0;-1.694
"AMP";1.126;0.03003;-2.66;-2.068;-2.5;20.89;0.02998;0.02936;0.02923;0.024;17.89;0.08;-173.69;3;0.25;-0.443;0;-0.511;-0.137;-2.248
